n_layers,node_type,correlation_mean,correlation_std,n_seeds
0,item,-0.46599780225076043,0.0010946791740578884,3
0,user,0.6409772342725233,0.004251285205170064,3
1,item,0.8435551609072948,0.003602900803316062,3
1,user,0.6448242937813192,0.0035937631637487726,3
2,item,0.6546366683007242,0.0006314597748506326,3
2,user,0.5498573183991581,0.005638446897712412,3
