n_layers,group,K,recall_mean,recall_std,ndcg_mean,ndcg_std,n_seeds,n_test_cases
0,low,10,0.11138613861386137,0.005152638612539924,0.054149176545618016,0.002598206963832987,3,1212
0,low,20,0.19994499449944994,0.00956289254714726,0.07637570383406628,0.0038075489127194725,3,1212
0,medium,10,0.06902916205241787,0.0015247980474214025,0.03397769475586127,0.0005104788427712272,3,3612
0,medium,20,0.12375415282392027,0.0014649785775551528,0.047671343643179175,0.0004566010606625804,3,3612
0,high,10,0.026699697219928435,0.003437928983428791,0.011376298421944459,0.0019528862525680503,3,1211
0,high,20,0.05147261216625378,0.0037235753532806723,0.017615330160389627,0.002148340521674758,3,1211
1,low,10,0.1243124312431243,0.0037205030963885213,0.06167600647134841,0.0010866343067504646,3,1212
1,low,20,0.21837183718371836,0.004691617741812994,0.08524897596746368,0.001054382269437254,3,1212
1,medium,10,0.07281284606866002,0.0009982146388327793,0.0356937337586277,0.001103655269995948,3,3612
1,medium,20,0.13104466592838684,0.0025121184180170297,0.05028644869676041,0.001259867164043473,3,3612
1,high,10,0.028901734104046242,0.0035994210929320178,0.013282581331417546,0.002019382510407461,3,1211
1,high,20,0.05807872281860721,0.009677068996007126,0.02059534414814403,0.0034682283553636784,3,1211
2,low,10,0.1201870187018702,0.006192700907149448,0.06091753631495326,0.002232333172454249,3,1212
2,low,20,0.21837183718371836,0.00920007078310107,0.08566117164675502,0.0032702527671235604,3,1212
2,medium,10,0.07345884090070137,0.0011188958705225305,0.035808235685538654,0.0006026859617817898,3,3612
2,medium,20,0.12716869693613878,0.0020028178676827846,0.049304657893688646,0.0002651145572082818,3,3612
2,high,10,0.031929534819708234,0.0012613750880693187,0.014378483910312156,0.0003234606140379623,3,1211
2,high,20,0.059179741260666115,0.007672645122359682,0.021149473190943274,0.001851165472714237,3,1211
