n_layers,seed,epoch,train_bpr_loss
1,42,1,0.6275766097765038
1,42,2,0.3333485519540483
1,42,3,0.29430929609182954
1,42,4,0.273922905811797
1,42,5,0.25422246273661003
1,42,6,0.24255015266438326
1,42,7,0.2326921984229399
1,42,8,0.22379711070570393
1,42,9,0.21374401606727336
1,42,10,0.20588837995909262
1,42,11,0.19946283631134723
1,42,12,0.19398435863895694
1,42,13,0.1875200704064058
1,42,14,0.1843970333482476
1,42,15,0.18114012522973877
1,42,16,0.1779855045935382
1,42,17,0.17299289119335404
1,42,18,0.16909867387426936
1,42,19,0.16746080132282298
1,42,20,0.1641731306478597
1,42,21,0.16129791682613068
1,42,22,0.15888673984918042
1,42,23,0.15832175373815108
1,42,24,0.15372188906252815
1,42,25,0.15162642385837607
1,42,26,0.14970090059374552
1,42,27,0.14790875515968038
1,42,28,0.14599425127000912
1,42,29,0.1469498587961214
1,42,30,0.14183763112278952
1,42,31,0.14072385196830484
1,42,32,0.13759369341035685
1,42,33,0.13783435323073165
1,42,34,0.13622836639051852
1,42,35,0.13479197697471018
1,42,36,0.13213915813822244
1,42,37,0.13079124143806056
1,42,38,0.12963943458094762
1,42,39,0.12918532056652982
1,42,40,0.1273780728055947
1,42,41,0.1252428221691778
1,42,42,0.12504965015619562
1,42,43,0.12258648483649544
1,42,44,0.12110052595211976
1,42,45,0.11935747335867389
1,42,46,0.11897154740881229
1,42,47,0.1171851243412095
1,42,48,0.11889764210344225
1,42,49,0.11506304742795402
1,42,50,0.11435703547549961
1,42,51,0.11234758047899907
1,42,52,0.11165599470985109
1,42,53,0.10987305962413117
1,42,54,0.10889297863468528
1,42,55,0.10813323899671651
1,42,56,0.10727170725400303
1,42,57,0.10579979014785393
1,42,58,0.10546559524600921
1,42,59,0.10450149424698042
1,42,60,0.10287847834031023
1,42,61,0.10279683029680661
1,42,62,0.10092563605934814
1,42,63,0.09989527085849988
1,42,64,0.09883744180863858
1,42,65,0.09834291958722516
1,42,66,0.09754145221929808
1,42,67,0.09658481400675964
1,42,68,0.09618277066940631
1,42,69,0.09415476690755105
1,42,70,0.09482064141311507
1,42,71,0.09362409471034788
1,42,72,0.09268916130331227
1,42,73,0.09168097044786681
1,42,74,0.09140310865705428
1,42,75,0.090486974897457
1,42,76,0.08986308771367792
1,42,77,0.08834425553652471
1,42,78,0.08868512109029984
1,42,79,0.08830559956908658
1,42,80,0.0875981289697676
1,42,81,0.0873012962764588
1,42,82,0.08656999860228835
1,42,83,0.08565413846593836
1,42,84,0.08477734182193619
1,42,85,0.08426213502694947
1,42,86,0.08432682706178099
1,42,87,0.08312167668634135
1,42,88,0.08301543459242237
1,42,89,0.08179865551748029
1,42,90,0.08127424243054744
1,42,91,0.08166825449586833
1,42,92,0.08033192145597676
1,42,93,0.08041027322937937
1,42,94,0.07922228320461253
1,42,95,0.07934449193661736
1,42,96,0.0779278226301371
1,42,97,0.07824379367672879
1,42,98,0.0778247645880649
1,42,99,0.0777485391287052
1,42,100,0.07656620471380597
1,43,1,0.6273288272213244
1,43,2,0.3342401410142581
1,43,3,0.29506413670985593
1,43,4,0.27705521198610467
1,43,5,0.25649016296518024
1,43,6,0.23952724860198255
1,43,7,0.22835924595162488
1,43,8,0.21878255423212398
1,43,9,0.21008761521374833
1,43,10,0.20416299750407538
1,43,11,0.1978905681534198
1,43,12,0.19261653486477293
1,43,13,0.18884484016376993
1,43,14,0.18396500357683154
1,43,15,0.18071113408043765
1,43,16,0.17503952369957732
1,43,17,0.17185465581850082
1,43,18,0.16969447240125443
1,43,19,0.16708755320396976
1,43,20,0.16299354670015906
1,43,21,0.16047016979343648
1,43,22,0.15952899882003016
1,43,23,0.15596661306715207
1,43,24,0.1537075743527975
1,43,25,0.15243317370397458
1,43,26,0.15006208279426547
1,43,27,0.14820961389636647
1,43,28,0.14767897812028727
1,43,29,0.14372967372553935
1,43,30,0.1419813625406528
1,43,31,0.1409009781976541
1,43,32,0.13940806640986947
1,43,33,0.13657506703790548
1,43,34,0.13593710857895674
1,43,35,0.1335842449427245
1,43,36,0.13412907805995664
1,43,37,0.1306237888191759
1,43,38,0.12977462820371316
1,43,39,0.12754535583266313
1,43,40,0.1267357746247148
1,43,41,0.12477952290488326
1,43,42,0.12383593345546852
1,43,43,0.12328061261686726
