n_layers,K,recall_mean,recall_std,ndcg_mean,ndcg_std,n_seeds,n_test_cases
0,10,0.06904170118751726,0.0006273303889312692,0.033493443715067885,0.00039569626598653354,3,6035
0,20,0.12455122894228114,0.0011638391331513633,0.04740487342341066,0.0005630568182690476,3,6035
1,10,0.07434410383871859,0.0012655552872012804,0.036414630020179646,0.0004990955159400245,3,6035
1,20,0.1339409003037835,0.0011987039168301994,0.05135002043557033,0.00016013432303988156,3,6035
2,10,0.07450980392156863,0.0018176727613260768,0.036550744875770834,0.0006907633667666716,3,6035
2,20,0.13184203258768296,0.0022557942951297576,0.050956383824706346,0.0005333781753416155,3,6035
