n_layers,seed,K,Recall,NDCG,n_test_cases
0,42,10,0.06859983429991715,0.03304004341314024,6035
0,42,20,0.12344656172328086,0.04675577433338958,6035
0,43,10,0.06975973487986745,0.03367118817612103,6035
0,43,20,0.12576636288318144,0.04776160617987709,6035
0,44,10,0.0687655343827672,0.03376909955594237,6035
0,44,20,0.12444076222038111,0.04769723975696531,6035
1,42,10,0.07323943661971831,0.03589527585036222,6035
1,42,20,0.13454846727423364,0.05124763632763863,6035
1,43,10,0.07406793703396852,0.036890639647141975,6035
1,43,20,0.13256006628003314,0.05153455836404198,6035
1,44,10,0.07572493786246894,0.03645797456303475,6035
1,44,20,0.1347141673570837,0.05126786661503041,6035
2,42,10,0.07307373653686827,0.03579200101792425,6035
2,42,20,0.13106876553438276,0.05034060499249531,6035
2,43,10,0.07390223695111847,0.037143154002154774,6035
2,43,20,0.1300745650372825,0.051274500668707625,6035
2,44,10,0.07655343827671914,0.036717079607233485,6035
2,44,20,0.1343827671913836,0.0512540458129161,6035
