dataset,scoring,K,head_tail_gap_mean,head_tail_gap_std,head_recall_mean,tail_recall_mean,head_n,tail_n,n_seeds
Amazon Beauty warm-start,cosine_normalized,20,0.48576688423326786,0.05645199731709125,0.6748216106014272,0.1890547263681592,654.0,67.0,3
Amazon Beauty warm-start,dot_product,20,0.5699103869034036,0.04446423819353729,0.7191641182466871,0.14925373134328357,654.0,67.0,3
MovieLens-1M,cosine_normalized,20,0.11874682495120452,0.003744605739731529,0.1297358359402155,0.01098901098901099,3836.0,91.0,3
MovieLens-1M,dot_product,20,0.1905363492954734,0.004284827280759025,0.1978623566214807,0.007326007326007327,3836.0,91.0,3
