dataset,seed,K,head_n,tail_n,dot_head_tail_gap,cosine_head_tail_gap,delta_norm
Amazon Beauty warm-start,42,20,654,67,0.585855128029577,0.5009585102012871,0.08489661782828983
Amazon Beauty warm-start,43,20,654,67,0.5196722807978457,0.42327354055411015,0.09639874024373551
Amazon Beauty warm-start,44,20,654,67,0.6042037518827879,0.5330686019444064,0.07113514993838144
MovieLens-1M,42,20,3836,91,0.18583059276489935,0.11726959172214647,0.06856100104275288
MovieLens-1M,43,20,3836,91,0.19421272158498437,0.1159661506376835,0.07824657094730088
MovieLens-1M,44,20,3836,91,0.19156573353653647,0.12300473249378359,0.06856100104275288
