dataset,K,head_n,tail_n,dot_head_tail_gap,cosine_head_tail_gap,delta_norm,ci_low,ci_high,bootstrap_std,n_bootstrap,bootstrap_seed,seed_delta_mean,seed_delta_std,n_optimization_seeds
Amazon Beauty warm-start,20,654,67,0.5699103869034033,0.48576688423326797,0.08414350267013537,0.055700092808130486,0.11795000532505673,0.016122862270974727,20000,2026,0.0841435026701356,0.012648621885813347,3
MovieLens-1M,20,3836,91,0.1905363492954734,0.11874682495120449,0.0717895243442689,0.0596976016684046,0.08492419988770353,0.006388087313047832,20000,2026,0.07178952434426888,0.005591966391645724,3
