dataset,scoring,K,recall_mean,recall_std,ndcg_mean,ndcg_std,n_mean,n_seeds
Amazon Beauty warm-start,cosine_normalized,20,0.6843373493975905,0.008462372492251178,0.33811443534985103,0.014170760361560784,1245.0,3
Amazon Beauty warm-start,dot_product,20,0.6995983935742972,0.005016062649316012,0.30572250584707117,0.015031189202677835,1245.0,3
MovieLens-1M,cosine_normalized,20,0.10654515327257663,0.0032597043202826806,0.04003786129143152,0.0005125633317170222,6035.0,3
MovieLens-1M,dot_product,20,0.13184203258768296,0.0022557942951297576,0.050956383824706346,0.0005333781753416155,6035.0,3
