dataset,node_type,alpha,n_replications,n_nodes_mean,pearson_mean,pearson_std,spearman_mean,spearman_std
MovieLens-1M,user,,3,6035.0,0.5498573183991573,0.0056384468977119075,0.6036050288137675,0.0045308855086527555
MovieLens-1M,item,,3,3525.0,0.6546366683007239,0.0006314597748508095,0.2772781328049992,0.00250961108972183
Amazon Beauty,item,,3,164.0,0.865266566706418,0.00157125228635247,0.8979313462205823,0.0026668001687763115
Simulation low,item,0.0,5,600.0,0.7054155232328775,0.014400538743137107,0.6906839361079353,0.008953708799418703
Simulation medium,item,0.7,5,600.0,0.9127534744923217,0.006368188488739976,0.8881610290462462,0.010257884120785434
Simulation high,item,1.3,5,600.0,0.8732398812654285,0.0019748186939995784,0.8728941683889172,0.008256765459913423
