item_idx,degree,degree_group,embedding_norm_mean,embedding_norm_std,dataset,log1p_degree
88,4,low,3.0595353,0.14784434,MovieLens-1M,1.6094379124341003
89,9,low,2.5989282,0.1736803,MovieLens-1M,2.302585092994046
90,9,low,2.851867,0.108435325,MovieLens-1M,2.302585092994046
91,106,medium,2.7000782,0.15618423,MovieLens-1M,4.672828834461906
92,180,medium,3.0590737,0.0898363,MovieLens-1M,5.198497031265826
93,10,medium,2.5543258,0.16411749,MovieLens-1M,2.3978952727983707
94,32,medium,2.8314724,0.08024983,MovieLens-1M,3.4965075614664802
95,27,medium,3.0820332,0.089797266,MovieLens-1M,3.332204510175204
96,38,medium,2.4572375,0.10216524,MovieLens-1M,3.6635616461296463
97,170,medium,3.1934958,0.08229,MovieLens-1M,5.14166355650266
98,4,low,3.1004245,0.09512986,MovieLens-1M,1.6094379124341003
99,13,medium,2.5400803,0.0741127,MovieLens-1M,2.6390573296152584
100,388,high,3.6229022,0.04983891,MovieLens-1M,5.963579343618446
101,159,medium,3.0616398,0.028285304,MovieLens-1M,5.075173815233827
102,8,low,3.563357,0.11451143,MovieLens-1M,2.1972245773362196
103,104,medium,3.0032558,0.028747447,MovieLens-1M,4.653960350157523
104,3,low,3.307768,0.06817041,MovieLens-1M,1.3862943611198906
105,1951,high,4.7672124,0.085936695,MovieLens-1M,7.5766097669730375
106,993,high,4.0677295,0.02746436,MovieLens-1M,6.901737206656574
107,287,high,3.3097365,0.036245618,MovieLens-1M,5.662960480135946
108,12,medium,2.8945847,0.04544093,MovieLens-1M,2.5649493574615367
109,3,low,3.0384114,0.042752147,MovieLens-1M,1.3862943611198906
110,33,medium,2.8702037,0.1117057,MovieLens-1M,3.5263605246161616
111,45,medium,2.5427208,0.04791049,MovieLens-1M,3.828641396489095
112,23,medium,2.6226232,0.08046081,MovieLens-1M,3.1780538303479458
113,2,low,3.1293056,0.1687429,MovieLens-1M,1.0986122886681098
114,30,medium,2.8045552,0.15111579,MovieLens-1M,3.4339872044851463
115,42,medium,2.3261774,0.06347246,MovieLens-1M,3.7612001156935624
116,81,medium,2.7578328,0.056735754,MovieLens-1M,4.406719247264253
117,5,low,3.343377,0.19466205,MovieLens-1M,1.791759469228055
118,214,medium,3.1209326,0.015738718,MovieLens-1M,5.3706380281276624
119,13,medium,2.5893373,0.1868128,MovieLens-1M,2.6390573296152584
120,10,medium,3.1199398,0.15820542,MovieLens-1M,2.3978952727983707
121,7,low,2.4208834,0.07784927,MovieLens-1M,2.0794415416798357
122,1,low,3.4807384,0.022515373,MovieLens-1M,0.6931471805599453
123,4,low,2.9999125,0.02462947,MovieLens-1M,1.6094379124341003
124,13,medium,2.7148495,0.08335861,MovieLens-1M,2.6390573296152584
125,1,low,3.5711024,0.09270247,MovieLens-1M,0.6931471805599453
126,37,medium,2.856229,0.07312698,MovieLens-1M,3.6375861597263857
127,5,low,3.0619576,0.07343963,MovieLens-1M,1.791759469228055
128,3,low,3.30116,0.08788972,MovieLens-1M,1.3862943611198906
129,1,low,4.1937428,0.15496792,MovieLens-1M,0.6931471805599453
130,1,low,3.0999432,0.026410777,MovieLens-1M,0.6931471805599453
131,54,medium,2.7307818,0.14618558,MovieLens-1M,4.007333185232471
132,371,high,3.2258623,0.061449848,MovieLens-1M,5.918893854273146
133,202,medium,3.1218913,0.1055817,MovieLens-1M,5.313205979041787
134,163,medium,3.0796206,0.0734144,MovieLens-1M,5.099866427824199
135,5,low,3.7176282,0.13384865,MovieLens-1M,1.791759469228055
136,99,medium,2.8249671,0.12669452,MovieLens-1M,4.605170185988092
137,6,low,2.6412337,0.2580449,MovieLens-1M,1.9459101490553132
138,30,medium,2.9259014,0.119993694,MovieLens-1M,3.4339872044851463
139,974,high,4.0633044,0.029877344,MovieLens-1M,6.882437470997847
140,319,high,3.1342623,0.09356348,MovieLens-1M,5.768320995793772
141,22,medium,2.6846569,0.09550938,MovieLens-1M,3.1354942159291497
142,156,medium,3.0265377,0.075552724,MovieLens-1M,5.056245805348308
143,105,medium,2.8581212,0.1216206,MovieLens-1M,4.663439094112067
