model,K,Recall,NDCG
Popularity,10,0.0396023198011599,0.0188523594510061
Popularity,20,0.0727423363711681,0.0271306561244779
ItemCF,10,0.0593206296603148,0.0290386866902328
ItemCF,20,0.0997514498757249,0.0391765610881776
LightGCN,10,0.0583264291632145,0.0283806360285873
LightGCN,20,0.1007456503728251,0.0389657463199521
