seed,degree_group,mean_embedding_norm,median_embedding_norm,std_embedding_norm,count
42,high,3.685765,3.6241136,0.42676634,707
42,low,3.2447703,3.2566683,0.38341668,737
42,medium,2.940329,2.9305506,0.32684228,2081
43,high,3.6853645,3.6261609,0.42391002,707
43,low,3.2451413,3.2524781,0.39887077,737
43,medium,2.93874,2.9361703,0.32172066,2081
44,high,3.677587,3.6110275,0.43096125,707
44,low,3.2350948,3.2316802,0.39430055,737
44,medium,2.9288292,2.9213626,0.32169035,2081
