item_idx,embedding_norm,degree,degree_group
219,2.4001496,270.0,high
220,1.8408853,135.0,medium
221,1.1521307,22.0,medium
222,2.8079293,582.0,high
223,2.1130981,128.0,medium
224,1.6010368,72.0,medium
225,0.629246,9.0,low
226,1.642591,50.0,medium
227,1.3806075,8.0,low
228,0.9055054,11.0,medium
229,1.2173883,47.0,medium
230,1.8209141,3.0,low
231,3.004639,581.0,high
232,2.5427563,326.0,high
233,1.1244055,38.0,medium
234,1.903284,165.0,medium
235,1.4940987,5.0,low
236,1.1923052,8.0,low
237,1.9750981,142.0,medium
238,2.6095922,391.0,high
239,0.9266377,11.0,medium
240,1.3735765,7.0,low
241,1.2201444,47.0,medium
242,1.4242383,50.0,medium
243,1.8742479,31.0,medium
244,0.7553478,28.0,medium
245,4.981862,2587.0,high
246,2.1485105,166.0,medium
247,1.6744142,118.0,medium
248,1.6519141,23.0,medium
249,1.8156842,3.0,low
250,2.8060212,541.0,high
251,2.4337626,341.0,high
252,1.6194713,38.0,medium
253,0.8631208,26.0,medium
254,1.0248466,30.0,medium
255,1.7207253,28.0,medium
256,1.1763647,25.0,medium
257,2.1812186,240.0,high
258,1.3443631,72.0,medium
259,2.0621433,2.0,low
260,0.9784664,14.0,medium
261,1.554376,45.0,medium
262,1.3154029,63.0,medium
263,0.98273975,7.0,low
264,1.1540909,30.0,medium
265,1.742585,125.0,medium
266,1.753092,129.0,medium
267,1.5672729,90.0,medium
268,1.3227844,7.0,low
269,1.4276459,4.0,low
270,2.4085913,299.0,high
271,1.6791626,67.0,medium
272,1.9060793,118.0,medium
273,1.3339417,5.0,low
274,2.433682,295.0,high
275,3.0843422,721.0,high
276,0.81036574,16.0,medium
277,1.161188,5.0,low
278,4.204257,1738.0,high
279,0.7835499,13.0,medium
280,1.0927436,19.0,medium
281,1.7287711,90.0,medium
282,2.7107484,463.0,high
283,1.1908133,19.0,medium
284,1.301161,57.0,medium
285,1.7660447,125.0,medium
286,0.632892,13.0,medium
287,0.78341544,20.0,medium
288,2.5027885,269.0,high
289,2.1783543,189.0,medium
290,2.0668452,146.0,medium
291,1.1691215,32.0,medium
292,2.1162395,2.0,low
293,0.6804941,19.0,medium
294,1.4821153,15.0,medium
295,2.0696194,199.0,medium
296,1.5967952,42.0,medium
297,3.160124,579.0,high
298,2.516448,263.0,high
299,4.3261304,2017.0,high
300,2.0513256,194.0,medium
301,1.0504171,15.0,medium
302,1.4135418,39.0,medium
303,1.8228012,123.0,medium
304,0.89853066,24.0,medium
305,1.6832303,8.0,low
306,1.6374828,49.0,medium
307,1.4218271,91.0,medium
308,1.875906,56.0,medium
309,2.8332338,454.0,high
310,1.565093,34.0,medium
311,1.4602219,5.0,low
312,1.3113614,27.0,medium
313,2.2988212,219.0,medium
314,1.9007212,77.0,medium
315,1.0849898,22.0,medium
316,1.2297096,6.0,low
317,2.832074,466.0,high
318,1.4643924,54.0,medium
319,2.8779364,337.0,high
320,0.7696841,34.0,medium
321,1.2217654,19.0,medium
322,2.4307249,319.0,high
323,1.4464363,7.0,low
324,2.3163528,312.0,high
325,2.395059,312.0,high
326,1.1404519,66.0,medium
327,1.3214164,20.0,medium
328,2.4144268,284.0,high
329,3.0861287,680.0,high
330,2.0413976,230.0,medium
331,2.0780525,119.0,medium
332,0.9808486,42.0,medium
333,2.626039,367.0,high
334,0.6857635,25.0,medium
335,1.9419086,31.0,medium
336,4.117033,1643.0,high
337,3.2807627,781.0,high
338,1.3738967,53.0,medium
339,1.4613229,5.0,low
340,1.232337,23.0,medium
341,1.9377569,123.0,medium
342,1.7718161,106.0,medium
343,1.7390959,55.0,medium
344,3.1537561,751.0,high
345,0.6817306,29.0,medium
346,1.8107231,81.0,medium
347,2.657964,497.0,high
348,2.7134342,413.0,high
349,1.0640252,23.0,medium
350,1.5714815,109.0,medium
351,1.3369381,77.0,medium
352,2.0931852,155.0,medium
353,1.9962788,176.0,medium
354,1.731933,20.0,medium
355,1.25198,7.0,low
356,1.791278,133.0,medium
357,3.3472571,921.0,high
358,1.3649739,37.0,medium
359,1.9381554,117.0,medium
360,3.339748,805.0,high
361,1.6979736,86.0,medium
362,1.4760355,85.0,medium
363,1.5966481,113.0,medium
364,0.91915023,11.0,medium
365,1.4481502,4.0,low
366,0.6221451,9.0,low
367,1.2629193,23.0,medium
368,1.4362189,59.0,medium
369,1.2265322,13.0,medium
370,1.0500447,31.0,medium
371,0.7139461,15.0,medium
372,0.98032254,8.0,low
373,2.017643,6.0,low
374,1.0199682,9.0,low
375,1.8235769,1.0,low
376,2.0403862,2.0,low
377,1.9264123,1.0,low
378,1.9373189,1.0,low
379,1.9810563,2.0,low
380,1.5998969,22.0,medium
381,1.3976156,6.0,low
382,1.65573,65.0,medium
383,1.05185,30.0,medium
384,1.2568127,15.0,medium
385,1.6191971,134.0,medium
386,1.3927956,3.0,low
387,1.9833182,155.0,medium
388,1.448216,42.0,medium
389,1.3404601,21.0,medium
390,1.3090475,22.0,medium
391,1.0262897,10.0,medium
392,1.7109507,107.0,medium
393,1.0931369,6.0,low
394,1.5721976,15.0,medium
395,1.6947348,59.0,medium
396,1.1744984,42.0,medium
397,0.6925273,20.0,medium
398,1.6961157,76.0,medium
399,0.99183655,14.0,medium
400,1.471445,59.0,medium
401,1.6379125,89.0,medium
402,0.6797382,27.0,medium
403,2.0244024,192.0,medium
404,0.8553755,33.0,medium
405,1.4207083,3.0,low
406,2.0414724,228.0,medium
407,1.3827802,59.0,medium
408,1.1260682,7.0,low
409,2.4505785,242.0,high
410,1.7416269,109.0,medium
411,1.0203444,31.0,medium
412,1.8888301,4.0,low
413,1.340031,29.0,medium
414,1.6536143,2.0,low
415,3.0222886,632.0,high
416,2.5977786,381.0,high
417,2.2746015,203.0,medium
418,0.6415866,14.0,medium
