seed,epoch,train_bpr_loss
43,1,0.5113388383086177
43,2,0.3132384261791257
43,3,0.30101459435578704
43,4,0.29128314430514973
43,5,0.2773533845725267
43,6,0.2624590085360451
43,7,0.2529912439809329
43,8,0.24612722119343453
43,9,0.23939427479669667
43,10,0.23483102898234906
43,11,0.2279579530375591
43,12,0.22205449818916942
43,13,0.216756631012844
43,14,0.21077256784706877
43,15,0.2068801586502704
43,16,0.2005059684532276
43,17,0.19658680914131843
43,18,0.19427195781220993
43,19,0.19161697682263196
43,20,0.186953893383506
43,21,0.18393297191115393
43,22,0.18296478785898374
43,23,0.17900929840254612
43,24,0.17618443634010095
43,25,0.17480337619781494
43,26,0.17188454181819723
43,27,0.16972483694553375
43,28,0.16890552013680554
43,29,0.1649104580823062
43,30,0.16315861929046072
43,31,0.16232776992778847
43,32,0.1607647050657998
43,33,0.1580470539899408
43,34,0.15789239546047876
43,35,0.15550688381536285
43,36,0.15637841518374457
43,37,0.15294337456715226
43,38,0.15230512927097362
43,39,0.15035005815435146
43,40,0.14988087662968083
43,41,0.1481862870733375
43,42,0.1474330782741848
43,43,0.14708595353084197
43,44,0.14575966471212282
43,45,0.14421335602368135
43,46,0.14242639059227877
43,47,0.14205080470529155
43,48,0.14078804953158766
43,49,0.14056561422952707
43,50,0.13932014402488005
43,51,0.1370462348981612
43,52,0.1367258964970276
43,53,0.13424281908226185
43,54,0.13409925502239037
43,55,0.13459802845465965
43,56,0.1328464121510531
43,57,0.13193285565121451
43,58,0.1314920389862812
43,59,0.129275005283779
43,60,0.1298821921851756
43,61,0.12834002812936282
43,62,0.12752226888593557
43,63,0.12651244065035944
43,64,0.12489944896188335
43,65,0.12699900400163472
43,66,0.12435498381492452
43,67,0.12300408222253664
43,68,0.12269045550214208
43,69,0.12258711764993875
43,70,0.12127140326344449
43,71,0.11993258847328632
43,72,0.12083453147847584
43,73,0.11842263462966766
43,74,0.11789212238542951
43,75,0.11619851705820664
43,76,0.11656974558381067
43,77,0.11661462917707968
43,78,0.11507558342123377
43,79,0.11435550557908372
43,80,0.11364264019589493
43,81,0.11285272508731409
43,82,0.11242696367528128
43,83,0.11261700587752073
43,84,0.11106511629254058
43,85,0.10978813565241685
43,86,0.10927070971861806
43,87,0.10919707813772603
43,88,0.10758055448262156
43,89,0.10749571368206239
43,90,0.10639617296840077
43,91,0.10685333636575851
43,92,0.10588000932424936
43,93,0.10533287961953793
43,94,0.10342111500600974
43,95,0.10345411716105815
43,96,0.1024130389323809
43,97,0.10255110416345406
43,98,0.10120476174937643
43,99,0.10129527879905874
43,100,0.10079076114124146
