epoch,train_bpr_loss,validation_recall20,validation_ndcg20
1,0.5117570441486179,0.08169014084507042,0.03192760845845012
5,0.2690846101529356,0.08533554266777134,0.03354566360376115
10,0.2350255321117415,0.09196354598177299,0.03520736759857161
20,0.18902307457250098,0.10787075393537697,0.04429125685482606
30,0.16386735876617226,0.12294946147473074,0.049147410002733004
50,0.13933312315223872,0.13703396851698427,0.05284815203845818
75,0.11742279415383287,0.14780447390223694,0.05611849715399879
100,0.10095150498808295,0.14946147473073737,0.0576714426824337
