group,K,recall_mean,recall_std,ndcg_mean,ndcg_std,n_seeds
high,10,0.031929534819708234,0.0012613750880693187,0.014378483910312156,0.0003234606140379623,3
high,20,0.059179741260666115,0.007672645122359682,0.021149473190943274,0.001851165472714237,3
low,10,0.1201870187018702,0.006192700907149448,0.06091753631495326,0.002232333172454249,3
low,20,0.21837183718371836,0.00920007078310107,0.08566117164675502,0.0032702527671235604,3
medium,10,0.07345884090070137,0.0011188958705225305,0.035808235685538654,0.0006026859617817898,3
medium,20,0.12716869693613878,0.0020028178676827846,0.049304657893688646,0.0002651145572082818,3
