item_group,degree_sum,degree_diff,forman_ricci
high,1047.0901842880444,682.7715144728194,-1043.0901842880444
low,322.0482080558198,310.13320647002854,-318.0482080558198
medium,377.85187194791104,178.10403729828582,-373.85187194791104
