model,K,Recall,NDCG,seed,epochs
LightGCN,10,0.07307373653686827,0.03579200101792425,42,100
LightGCN,20,0.13106876553438276,0.05034060499249531,42,100
LightGCN,10,0.07390223695111847,0.037143154002154774,43,100
LightGCN,20,0.1300745650372825,0.051274500668707625,43,100
LightGCN,10,0.07655343827671914,0.036717079607233485,44,100
LightGCN,20,0.1343827671913836,0.0512540458129161,44,100
