epoch,train_bpr_loss
1,0.5117570441486179
2,0.31255605136570724
3,0.29900709399278613
4,0.28507388588311017
5,0.2690846101529356
6,0.25827745928604534
7,0.2508726957915486
8,0.24615584756585135
9,0.23983563666326413
10,0.2350255321117415
11,0.230325304619644
12,0.22505822529395422
13,0.21769924526629242
14,0.21299320340588473
15,0.2081952250522116
16,0.20410053853107535
17,0.1987470542418136
18,0.1945334727997365
19,0.19272992597973865
20,0.18902307457250098
21,0.18620251572650412
22,0.18362217045564583
23,0.18266004674892494
24,0.17716042629942513
25,0.17480210119021544
26,0.17239993162777112
27,0.17023355461846013
28,0.16820537414995657
29,0.16883628032561662
30,0.16386735876617226
31,0.16268658014419285
32,0.15930756772665874
33,0.15969738047030094
34,0.15811768136378648
35,0.15759148875224419
36,0.15433723158945423
37,0.1535031564898141
38,0.1523705668396492
39,0.1523218865411869
40,0.15045143666582694
41,0.14834553446026816
42,0.1485210167972938
43,0.146448768351389
44,0.14505165753265223
45,0.14377486527613972
46,0.14327961190239244
47,0.14156094739429545
48,0.1437369656033706
49,0.14021718556034393
50,0.13933312315223872
51,0.1375506750807382
52,0.13693056713141824
53,0.13543707099945648
54,0.13458649305275816
55,0.1341711849352156
56,0.1334034719663011
57,0.13182352843653897
58,0.13162647997555527
59,0.1307340756436621
60,0.1292094147736308
61,0.1293525263613117
62,0.12751234104127987
63,0.12658745379767555
64,0.12541311160674778
65,0.125319575270017
66,0.12446010799781568
67,0.12374628748258819
68,0.12304456903180783
69,0.1210985774801963
70,0.12166433770587479
71,0.12066213375267883
72,0.11983186400322955
73,0.11846715084992457
74,0.1184081952425017
75,0.11742279415383287
76,0.11665062080609842
77,0.11496893482525712
78,0.11546543150114408
79,0.11512357900863972
80,0.11421507670530591
81,0.11411419513540855
82,0.11320762214777262
83,0.11214296746513118
84,0.11099082025010949
85,0.11039359587501141
86,0.11051980101004028
87,0.10902991711391487
88,0.10917652568415455
89,0.10740075706490788
90,0.10688293134064777
91,0.10728683571020763
92,0.10578492401248735
93,0.10556995469665127
94,0.10424722570494033
95,0.103936064792662
96,0.1024775703452811
97,0.10279826817197213
98,0.10207655309173076
99,0.10195560091971487
100,0.10095150498808295
