model,K,recall_mean,recall_std,ndcg_mean,ndcg_std,n_seeds
LightGCN,10,0.07450980392156863,0.0018176727613260768,0.036550744875770834,0.0006907633667666716,3
LightGCN,20,0.13184203258768296,0.0022557942951297576,0.050956383824706346,0.0005333781753416155,3
