group,K,recall_mean,recall_std,ndcg_mean,ndcg_std,n_seeds
high,10,0.11392075078206465,0.0031714090356090782,0.0562682362925708,0.0009353841046446611,3
high,20,0.1978623566214807,0.004267650037472597,0.07736712855939104,0.000818077579813495,3
low,10,0.0,0.0,0.0,0.0,3
low,20,0.007326007326007327,0.006344508452633251,0.0019838552406165693,0.0017203998954574986,3
medium,10,0.006017418844022169,0.000988914964116928,0.002251207081698543,0.000595838536881408,3
medium,20,0.0171021377672209,0.0017128509622156725,0.005017073824884876,0.0008107863046968891,3
unknown,10,0.0,0.0,0.0,0.0,3
unknown,20,0.0,0.0,0.0,0.0,3
