model,group_type,group,K,Recall,NDCG
LightGCN,user_degree,high,10,0.033856317093311314,0.016503026886404287
LightGCN,user_degree,high,20,0.058629232039636665,0.0226972655939385
LightGCN,user_degree,low,10,0.08828382838283828,0.04613114240173719
LightGCN,user_degree,low,20,0.14686468646864687,0.060880821317935
LightGCN,user_degree,medium,10,0.05647840531561462,0.026406707719319925
LightGCN,user_degree,medium,20,0.09939091915836101,0.03706653792062969
