user_group,item_group,degree_sum,degree_diff,forman_ricci
high,high,1078.1329746384738,520.7938264767073,-1074.1329746384738
high,low,443.29284685549686,431.32741238598175,-439.29284685549686
high,medium,474.6042506948653,237.95151616476144,-470.6042506948653
low,high,1094.363894408175,1062.5994890718139,-1090.363894408175
low,low,20.822916666666668,10.78125,-16.822916666666668
low,medium,140.1945868945869,108.86524216524217,-136.1945868945869
medium,high,1006.744699573766,844.7341509693387,-1002.744699573766
medium,low,92.4435318275154,80.4517453798768,-88.4435318275154
medium,medium,209.58642727327197,68.56967106708474,-205.58642727327197
