seed,epoch,train_bpr_loss
44,1,0.67893847823143
44,2,0.6758597195148468
44,3,0.6724780201911926
44,4,0.6683963239192963
44,5,0.6642568111419678
44,6,0.6586220860481262
44,7,0.6524729132652283
44,8,0.6455284357070923
44,9,0.637937605381012
44,10,0.629182368516922
44,11,0.6200771629810333
44,12,0.6103352010250092
44,13,0.5989662408828735
44,14,0.5870115458965302
44,15,0.5743470788002014
44,16,0.5607424378395081
44,17,0.5467216968536377
44,18,0.5313740372657776
44,19,0.5158126950263977
44,20,0.5003060698509216
44,21,0.483892560005188
44,22,0.465179979801178
44,23,0.4490666538476944
44,24,0.4306630343198776
44,25,0.41334640979766846
44,26,0.39739876985549927
44,27,0.37958598136901855
44,28,0.3624345660209656
44,29,0.3471217453479767
44,30,0.3317687064409256
44,31,0.31499268114566803
44,32,0.30141912400722504
44,33,0.28681960701942444
44,34,0.2740767151117325
44,35,0.26109883189201355
44,36,0.24996259808540344
44,37,0.23742623627185822
44,38,0.22857864201068878
44,39,0.21888144314289093
44,40,0.20732979476451874
44,41,0.20155584812164307
44,42,0.19296187907457352
44,43,0.18434016406536102
44,44,0.1782432124018669
44,45,0.17007561028003693
44,46,0.16506022959947586
44,47,0.15862224251031876
44,48,0.15405192226171494
44,49,0.14722691476345062
44,50,0.14237378537654877
44,51,0.13850459456443787
44,52,0.13553646951913834
44,53,0.12954678013920784
44,54,0.12654976919293404
44,55,0.12330060079693794
44,56,0.1176999881863594
44,57,0.1167558953166008
44,58,0.11151764914393425
44,59,0.10862095281481743
44,60,0.10683738440275192
44,61,0.10374685376882553
44,62,0.10086407512426376
44,63,0.09753510728478432
44,64,0.09665179252624512
44,65,0.09390095621347427
44,66,0.09197631850838661
44,67,0.08820708096027374
44,68,0.08714566379785538
44,69,0.08414613083004951
44,70,0.08180451765656471
44,71,0.0792010948061943
44,72,0.07955442368984222
44,73,0.07842323556542397
44,74,0.07549760863184929
44,75,0.07303471118211746
44,76,0.07283725962042809
44,77,0.07036515325307846
44,78,0.06842488422989845
44,79,0.06544888392090797
44,80,0.06460663117468357
44,81,0.06385050527751446
44,82,0.06350985169410706
44,83,0.0610437598079443
44,84,0.059585340321063995
44,85,0.057519298046827316
44,86,0.056412098929286
44,87,0.055245814844965935
44,88,0.05419965647161007
44,89,0.053900592029094696
44,90,0.052483225241303444
44,91,0.05114337243139744
44,92,0.05002901144325733
44,93,0.048167742788791656
44,94,0.04802338033914566
44,95,0.0464927963912487
44,96,0.04547986201941967
44,97,0.04544642008841038
44,98,0.04475513473153114
44,99,0.04316794127225876
44,100,0.042720332741737366
