model,head_tail_gap,ci_low,ci_high
Popularity,0.8333333333333334,0.8027522935779816,0.8608562691131498
ItemCF,0.6952165776621481,0.6133095987950158,0.7732666940526725
LightGCN,0.5699103869034033,0.4857121122217658,0.6473540173748991
