dataset,model,K,recall_mean,recall_std,ndcg_mean,ndcg_std,n_seeds
Amazon Beauty 3-core warm-start,LightGCN,10,0.6519410977242303,0.013826775190013737,0.29361367480799655,0.016476325212530795,3
Amazon Beauty 3-core warm-start,LightGCN,20,0.6995983935742972,0.005016062649316012,0.30572250584707117,0.015031189202677835,3
